"id","pfd_period_no","wk","prd_name","prd_series","qty_fc","update_datetime"
560639,"202338",WK2401,RGP-096L-0D,RGP,292448,2023-09-25 08:49:07.438
567334,"202338",WK2402,RGP-096L-0D,RGP,196840,2023-09-25 08:49:07.438
560775,"202338",WK2403,RGP-096L-0D,RGP,168720,2023-09-25 08:49:07.438
557550,"202338",WK2404,RGP-096L-0D,RGP,84360,2023-09-25 08:49:07.438
570766,"202338",WK2405,RGP-096L-0D,RGP,0,2023-09-25 08:49:07.438
23949946,"202339",WK2339,RGP-096L-0D,RGP,300000,2023-09-30 06:03:47.114
23969516,"202339",WK2340,RGP-096L-0D,RGP,788877,2023-09-30 06:03:47.114
23966305,"202339",WK2341,RGP-096L-0D,RGP,337440,2023-09-30 06:03:47.114
23953287,"202339",WK2342,RGP-096L-0D,RGP,337440,2023-09-30 06:03:47.114
23972787,"202339",WK2343,RGP-096L-0D,RGP,337440,2023-09-30 06:03:47.114
23969517,"202339",WK2344,RGP-096L-0D,RGP,337440,2023-09-30 06:03:47.114
23949947,"202339",WK2345,RGP-096L-0D,RGP,337440,2023-09-30 06:03:47.114
23966306,"202339",WK2346,RGP-096L-0D,RGP,337440,2023-09-30 06:03:47.114
23949948,"202339",WK2347,RGP-096L-0D,RGP,337440,2023-09-30 06:03:47.114
23959870,"202339",WK2348,RGP-096L-0D,RGP,337440,2023-09-30 06:03:47.114
23953288,"202339",WK2349,RGP-096L-0D,RGP,140600,2023-09-30 06:03:47.114
23963086,"202339",WK2350,RGP-096L-0D,RGP,56240,2023-09-30 06:03:47.114
23972788,"202339",WK2351,RGP-096L-0D,RGP,224960,2023-09-30 06:03:47.114
23953289,"202339",WK2352,RGP-096L-0D,RGP,224960,2023-09-30 06:03:47.114
23969518,"202339",WK2401,RGP-096L-0D,RGP,292448,2023-09-30 06:03:47.114
23963087,"202339",WK2402,RGP-096L-0D,RGP,196840,2023-09-30 06:03:47.114
23953290,"202339",WK2403,RGP-096L-0D,RGP,168720,2023-09-30 06:03:47.114
23959871,"202339",WK2404,RGP-096L-0D,RGP,84360,2023-09-30 06:03:47.114
23963088,"202339",WK2405,RGP-096L-0D,RGP,0,2023-09-30 06:03:47.114
23956593,"202339",WK2406,RGP-096L-0D,RGP,179968,2023-09-30 06:03:47.114
55927343,"202340",WK2340,RGP-096L-0D,RGP,400000,2023-10-09 10:43:41.805
55933811,"202340",WK2341,RGP-096L-0D,RGP,726317,2023-10-09 10:43:41.805
55930538,"202340",WK2342,RGP-096L-0D,RGP,337440,2023-10-09 10:43:41.805
55927344,"202340",WK2343,RGP-096L-0D,RGP,337440,2023-10-09 10:43:41.805
55946971,"202340",WK2344,RGP-096L-0D,RGP,337440,2023-10-09 10:43:41.805
55937135,"202340",WK2345,RGP-096L-0D,RGP,337440,2023-10-09 10:43:41.805
55933812,"202340",WK2346,RGP-096L-0D,RGP,337440,2023-10-09 10:43:41.805
55940400,"202340",WK2347,RGP-096L-0D,RGP,337440,2023-10-09 10:43:41.805
55937136,"202340",WK2348,RGP-096L-0D,RGP,337440,2023-10-09 10:43:41.805
55940401,"202340",WK2349,RGP-096L-0D,RGP,140600,2023-10-09 10:43:41.805
55927345,"202340",WK2350,RGP-096L-0D,RGP,56240,2023-10-09 10:43:41.805
55930539,"202340",WK2351,RGP-096L-0D,RGP,224960,2023-10-09 10:43:41.805
