"id","so_no","so_line","request_date","due_date","prd_name","prd_series","qty_bal","update_datetime"
239503539,"2SE02729",9,"2024-04-26 00:00:00","2024-05-07 00:00:00",RGP-427L-0B,RGP,5232,2024-04-25 13:46:03.784
270050079,"2SE03762",1,"2024-04-26 00:00:00","2024-05-07 00:00:00",RGP-456L-0D,RGP,4000,2024-04-25 13:46:03.784
271434215,"2SE03069",1,"2024-04-22 00:00:00","2024-05-07 00:00:00",RGPZ-357ML-1C,RGP,22659,2024-04-25 13:46:03.784
271434029,"2SE02879",5,"2024-04-01 00:00:00","2024-05-07 00:00:00",RGPZ-357ML-1C,RGP,7341,2024-04-25 13:46:03.784
265275709,"2SE03651",8,"2024-04-24 00:00:00","2024-05-08 00:00:00",RGP-266L-0B,RGP,30000,2024-04-25 13:46:03.784
270050080,"2SE03764",1,"2024-04-26 00:00:00","2024-05-08 00:00:00",RGP-456L-0D,RGP,6292,2024-04-25 13:46:03.784
272490820,"2SE03762",2,"2024-04-26 00:00:00","2024-05-08 00:00:00",RGP-456L-0D,RGP,8805,2024-04-25 13:46:03.784
246139678,"2SE02939",6,"2024-03-31 00:00:00","2024-05-08 00:00:00",RGPZ-086MW-0E,RGP,10000,2024-04-25 13:46:03.784
246139683,"2SE02940",6,"2024-03-31 00:00:00","2024-05-08 00:00:00",RGPZ-127MW-0E,RGP,10000,2024-04-25 13:46:03.784
265035460,"2SE01907",6,"2024-02-28 00:00:00","2024-05-08 00:00:00",RGPZ-395ML-0D,RGP,55386,2024-04-25 13:46:03.784
265275710,"2SE03651",9,"2024-04-24 00:00:00","2024-05-09 00:00:00",RGP-266L-0B,RGP,30000,2024-04-25 13:46:03.784
272666653,"2SE03436",8,"2024-04-09 00:00:00","2024-05-09 00:00:00",RGPZ-394ML-0D,RGP,109000,2024-04-25 13:46:03.784
268883647,"2SE02710",3,"2024-03-22 00:00:00","2024-05-09 00:00:00",RGPZ-448ML-1D,RGP,16000,2024-04-25 13:46:03.784
238113311,"2SE02912",3,"2024-03-29 00:00:00","2024-05-10 00:00:00",RGP-096L-0D,RGP,108000,2024-04-25 13:46:03.784
255344243,"2SE02902",5,"2024-03-27 00:00:00","2024-05-10 00:00:00",RGP-096L-0D,RGP,162414,2024-04-25 13:46:03.784
229264788,"2SD01744",3,"2023-04-28 00:00:00","2024-05-10 00:00:00",RGP-142W-0B,RGP,13948,2024-04-25 13:46:03.784
265063758,"2SE02854",6,"2024-03-29 00:00:00","2024-05-10 00:00:00",RGP-145S-0B,RGP,115000,2024-04-25 13:46:03.784
